ID,song_name,song_singer,song_url,song_comment_num,song_play_num,album_name,album_url,album_score,album_language,album_date,album_genre
59,最幸运的人,林二汶,http://www.xiami.com/song/mQLIlS624cf,319,668315,On The Go,https://www.xiami.com/album/797455829,9.1,国语,2014年07月25日,国语流行 Mandarin Pop
60,城市背后,金玟岐,http://www.xiami.com/song/mQOPKv657e7,845,3080167,完美世界,https://www.xiami.com/album/523792755,9.2,国语,2015年03月19日,国语流行 Mandarin Pop
61,别的,林二汶,http://www.xiami.com/song/bqvvakJ387a3,499,956345,别的,https://www.xiami.com/album/214736049,9.9,国语,2014年11月12日,国语流行 Mandarin Pop
62,知音难觅,邵夷贝,http://www.xiami.com/song/mQB8JNeb7da,255,288947,灰色人种,https://www.xiami.com/album/479206,8.7,国语,2011年11月24日,无
63,来日方长,黄龄,http://www.xiami.com/song/8G47QM19d50,1571,5330093,来日方长,https://www.xiami.com/album/2100388499,8.6,国语,2016年09月09日,国语流行 Mandarin Pop
64,感觉身体被掏空,上海彩虹室内合唱团,http://www.xiami.com/song/bClbY6S44fb8,1063,749376,感觉身体被掏空,https://www.xiami.com/album/2100372823,9.4,国语,2016年07月27日,无
65,依兰爱情故事,方磊,http://www.xiami.com/song/JBj7Tg21478,486,1169365,某,https://www.xiami.com/album/2100220316,9.9,国语,2015年10月19日,民谣流行 Folk Pop
66,我要你,任素汐,http://www.xiami.com/song/mSeY1O71f8e,1754,4278667,我要你,https://www.xiami.com/album/2102413719,9.8,国语,2016年10月26日,国语流行 Mandarin Pop
67,Warrior,Evans Blue,http://www.xiami.com/song/mQB6Cm9481e,23,53036,Graveyard of Empires,https://www.xiami.com/album/503802,无,英语,2012年04月17日,无
68,How Many Kings,downhere,http://www.xiami.com/song/U5TX643c0,75,105949,Ending Is Beginning,https://www.xiami.com/album/176729,9.3,英语,2008年10月13日,基督摇滚 Christian Rock
69,I Can’t Help It,Nevertheless,http://www.xiami.com/song/mQ4eoF84a4e,52,93911,When I'm With You (EP),https://www.xiami.com/album/348065,8.8,英语,2009年08月18日,无
70,You,Switchfoot,http://www.xiami.com/song/b4YhAb425a,29,32685,The Legend of Chin,https://www.xiami.com/album/174687,无,英语,1997年06月17日,基督摇滚 Christian Rock
71,成都,赵雷,http://www.xiami.com/song/xMPX2ec031e,2000,3793782,无法长大,https://www.xiami.com/album/2102413795,9.4,国语,2016年12月21日,无
72,Something To Say,Starfield,http://www.xiami.com/song/8Gbffte9743,86,173227,The Saving One,https://www.xiami.com/album/369217,8.8,英语,2010年02月23日,福音 Gospel
73,Love You Tomorrow,Article One,http://www.xiami.com/song/mQ5DxE7eaa2,20,93351,The One(I'm Fighting For) EP,https://www.xiami.com/album/379725,无,英语,2010年05月04日,无
74,Hymn For The Weekend (Jaeriah Remix),Jaeriah,http://www.xiami.com/song/8G3zXk19951,31,72919,Hymn For The Weekend (Jaeriah Remix),https://www.xiami.com/album/2100346618,无,英语,2016年04月20日,无
75,摆渡人之歌,范宗沛,http://www.xiami.com/song/2PM7f4a3,2000,2814124,水色,https://www.xiami.com/album/901,9.6,国语,2004年10月01日,轻音乐 Easy Listening
76,Falling In,Lifehouse,http://www.xiami.com/song/mQ47JA5879d,84,440826,Smoke & Mirrors,https://www.xiami.com/album/357650,9.3,英语,2010年03月02日,流行摇滚 Pop Rock
77,Whole,Rixton,http://www.xiami.com/song/xL7EgDd4470,14,9893,Let the Road,https://www.xiami.com/album/1611453086,8.9,英语,2015年03月03日,欧美流行 Western Pop
78,The Salt Wound Routine,Thirteen Senses,http://www.xiami.com/song/gotDw4900e,384,729715,The Invitation,https://www.xiami.com/album/167811,9.4,英语,2004年09月27日,独立流行 Indie Pop
79,Unbreakable,Jamie Scott,http://www.xiami.com/song/bCkPSfs4a6c2,49,49198,My Hurricane,https://www.xiami.com/album/107380726,10.0,英语,2015年01月20日,无
80,来信,陈鸿宇,http://www.xiami.com/song/bqv2veW59410,341,671292,浓烟下的诗歌电台,https://www.xiami.com/album/1527526201,9.4,国语,2016年03月01日,城市民谣 Urban Folk
81,情歌,哪吒,http://www.xiami.com/song/esmYN2e805,172,282932,他在时间门外,https://www.xiami.com/album/311101,9.5,国语,2012年12月20日,摇滚 Rock & Roll
82,乌云典当记,万能青年旅店,http://www.xiami.com/song/bqv2B0W3b54f,320,158973,乌云典当记,https://www.xiami.com/album/2100256740,9.3,国语,2013年02月04日,独立摇滚 Indie Rock
83,硬汉,腰乐队,http://www.xiami.com/song/xL36SIbfd4f,350,310053,相见恨晚,https://www.xiami.com/album/1893305977,9.5,国语,2014年07月24日,边缘音乐人 Obscuro
84,Hall of Fame,Kevin Walker,http://www.xiami.com/song/xL2Ogida17f,20,69163,Belong,https://www.xiami.com/album/787107408,9.8,英语,2013年12月13日,无
85,My Body Is a Cage,Sara Lov,http://www.xiami.com/song/dC8iU26713,475,2685870,The Young Eyes,https://www.xiami.com/album/316770,9.0,英语,2009年01月20日,根源唱作人 Singer-Songwriter
86,Undo,Rush of Fools,http://www.xiami.com/song/cpJvDec6e7,29,109860,Rush of Fools,https://www.xiami.com/album/298002,8.6,英语,2007年05月08日,福音 Gospel
87,Thankyou,Dido,http://www.xiami.com/song/b4BDXd784f,331,876143,One Step Too Far,https://www.xiami.com/album/167884,9.5,英语,1999年01月01日,神游舞曲 Trip Hop
88,Life Is Beautiful,The Afters,http://www.xiami.com/song/U5DFKx29f5d,215,459853,Life Is Beautiful,https://www.xiami.com/album/862792200,9.1,英语,2013年04月16日,无
89,"10,000 Reasons",Rend Collective,http://www.xiami.com/song/mQECXK5a3e9,23,22782,Campfire,https://www.xiami.com/album/575814,9.3,英语,2013年01月29日,无
90,There Will Be a Day,Jeremy Camp,http://www.xiami.com/song/xLwtFu9c508,12,14379,I Still Believe,https://www.xiami.com/album/499491,无,英语,2012年03月09日,无
91,"10,000 Reasons (Bless the Lord)",Matt Redman,http://www.xiami.com/song/mQA3QZ83902,254,419199,"10,000 Reasons",https://www.xiami.com/album/480824,9.7,英语,2011年07月08日,无
92,Where Did You Go?,Ashley Parker Angel,http://www.xiami.com/song/b5jxWdae42,191,285903,Soundtrack to Your Life,https://www.xiami.com/album/178998,9.1,英语,2006年05月16日,无
93,Kiss Me Slowly,Parachute,http://www.xiami.com/song/xLtxXvb3c92,55,83875,Kiss Me Slowly,https://www.xiami.com/album/437118,无,英语,2011年04月19日,无
94,Transatlanticism,Death Cab for Cutie,http://www.xiami.com/song/b4edz12c11,391,230621,Transatlanticism,https://www.xiami.com/album/116953,9.1,英语,2003年10月07日,独立流行 Indie Pop
95,Gonna Get There Someday,Dierks Bentley,http://www.xiami.com/song/b61Ydbb0a6,251,526938,Modern Day Drifter,https://www.xiami.com/album/211490,9.2,英语,2005年05月10日,当代乡村 Contemporary Country
96,For You -Instrumental-,AZU,http://www.xiami.com/song/mQ5hC953617,24,35886,For You,https://www.xiami.com/album/369277,9.7,日语,2010年03月03日,日本流行 J-Pop
97,同じ空みつめてるあなたに,Spontania,http://www.xiami.com/song/b1pNSsR42478,12,23918,コラボレーションズ BEST,https://www.xiami.com/album/366913,9.0,日语,2009年11月18日,无
98,LAST STARDUST (soundtrack edit),Aimer,http://www.xiami.com/song/8Gx3vWe45b2,120,195120,Fate/stay night [Unlimited Blade Works] オリジナルサウンドトラック II,https://www.xiami.com/album/2100193672,9.5,其他,2015年10月07日,无
99,No Promises,Shawn Mendes,http://www.xiami.com/song/bf0L9mW2e8dc,73,231315,Illuminate,https://www.xiami.com/album/2100391091,9.3,英语,2016年09月23日,无
100,Beautiful Birds,Passenger,http://www.xiami.com/song/U5ZCJ82a0ea,101,82999,Young as the Morning Old as the Sea,https://www.xiami.com/album/2100355383,9.0,英语,2016年09月23日,无
101,我们的时光,赵雷,http://www.xiami.com/song/8GsZus1d660,1875,9658015,吉姆餐厅,https://www.xiami.com/album/2013969781,9.4,国语,2014年10月19日,民谣流行 Folk Pop
102,Titanium,Sia,http://www.xiami.com/song/xLw7aJa59ce,811,1914193,Best Of...,https://www.xiami.com/album/504357,9.4,英语,2012年03月30日,当代节奏布鲁斯 Contemporary R&B
103,Some Nights ,Fun.,http://www.xiami.com/song/bqvmvHe3730d,21,80560,Now That's What I Call Music! 83,https://www.xiami.com/album/571728,无,英语,2012年11月19日,无
104,Hey Soul Sister,Train,http://www.xiami.com/song/mQ7Jrz5e328,148,575508,The Biggest Loser Workout Mix - Top 40 Hits Vol. 4,https://www.xiami.com/album/422909,无,英语,2010年10月10日,无
105,エカテリーナのための協奏曲,松谷卓,http://www.xiami.com/song/mQAbia717b7,248,392510,モンタージュ,https://www.xiami.com/album/471024,9.9,日语,2007年05月30日,无
106,Teardrop,Massive Attack,http://www.xiami.com/song/ciRg8f2219,2000,1959844,Mezzanine,https://www.xiami.com/album/99717,9.5,英语,1998年04月20日,神游舞曲 Trip Hop
107,9 Crimes,Damien Rice,http://www.xiami.com/song/bf0slAk34009,571,757319,9 Crimes,https://www.xiami.com/album/372513,9.6,英语,2006年11月27日,根源唱作人 Singer-Songwriter
108,Back from the Dead,Skylar Grey,http://www.xiami.com/song/bqvnKoa3c201,186,379787,Don't Look Down,https://www.xiami.com/album/1063540619,9.1,英语,2013年07月05日,另类摇滚 Alternative Rock
109,My Father's World,Jadon Lavik,http://www.xiami.com/song/dC5712bfcd,51,236800,Roots Run Deep,https://www.xiami.com/album/316003,9.2,英语,2008年02月26日,福音 Gospel
110,A Thousand Years,Christina Perri,http://www.xiami.com/song/8GlBH918880,196,699598,Now That's What I Call Music! 84,https://www.xiami.com/album/1468683792,无,英语,2013年05月16日,无
111,Wherever I Go,OneRepublic,http://www.xiami.com/song/bqv5akG37413,263,374008,Wherever I Go,https://www.xiami.com/album/2100333128,7.8,英语,2016年05月13日,流行摇滚 Pop Rock
112,Paradise,Coldplay,http://www.xiami.com/song/xLvSyEb3ce4,104,193639,2012 Grammy Nominees,https://www.xiami.com/album/489564,9.3,英语,2012年01月24日,无
113,Surface,Seas of Years,http://www.xiami.com/song/mQFqIL609c3,144,55324,Ocean Rift,https://www.xiami.com/album/365559978,9.9,英语,2013年04月07日,无
114,亲密爱人,梅艳芳,http://www.xiami.com/song/eLkT60182,587,2248700,永远的…梅艳芳,https://www.xiami.com/album/10911,9.8,国语,2004年01月01日,无
115,California Dreamin' ,Sia,http://www.xiami.com/song/bf0C72p348de,449,613635,California Dreamin',https://www.xiami.com/album/330847099,8.2,英语,2015年05月12日,欧美流行 Western Pop
116,Young & Beautiful,Lana Del Rey,http://www.xiami.com/song/mQFyex651f1,2000,5595033,Young & Beautiful,https://www.xiami.com/album/866593029,9.5,英语,2013年04月23日,欧美流行 Western Pop
117,Video Games,Lana Del Rey,http://www.xiami.com/song/bf0xOEZ3111c,742,1877406,Born to Die,https://www.xiami.com/album/489833,9.3,英语,2012年01月27日,室内流行 Chamber Pop
118,Born To Die,Lana Del Rey,http://www.xiami.com/song/mQAUAc7ed04,2000,4131617,Born to Die,https://www.xiami.com/album/489833,9.3,英语,2012年01月27日,室内流行 Chamber Pop
119,Summertime Sadness,Lana Del Rey,http://www.xiami.com/song/xLvTyM10b0a,1839,5409914,Born to Die,https://www.xiami.com/album/489833,9.3,英语,2012年01月27日,室内流行 Chamber Pop
120,A Time For Us,David Davidson,http://www.xiami.com/song/xLoCydc5632,290,525966,Silver Screen Classics,https://www.xiami.com/album/339724,9.5,英语,2004年11月23日,无
121,献世,陈小春,http://www.xiami.com/song/eiI667f0,838,4533294,夜生活,https://www.xiami.com/album/492,9.4,粤语,2004年02月01日,无
122,Apology,Safetysuit,http://www.xiami.com/song/xLoicQca261,89,185191,Life Left to Go,https://www.xiami.com/album/330570,8.9,英语,2008年05月13日,无
123,Anywhere But Here,Safetysuit,http://www.xiami.com/song/xLoicU9f83d,355,770433,Life Left to Go,https://www.xiami.com/album/330570,8.9,英语,2008年05月13日,无
